Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,SYN,ACK,FIN,RST,Packets/Time,Time Between Packets,target
TCP,TCP,192.168.1.4,192.168.1.3,51478,80,60,1,0,0,0,0.166,0.004,Attack
TLS,TCP,192.168.1.3,20.211.142.183,49970,443,92,0,1,0,0,10.75,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,884,0,0,0,0,198.97,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,905,0,0,0,0,210.767,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,883,0,0,0,0,202.21,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53640,80,60,1,0,0,0,64.386,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,915,0,0,0,0,192.363,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55648,80,60,1,0,0,0,104.544,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55519,80,60,1,0,0,0,102.303,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53530,80,60,1,0,0,0,61.766,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55867,80,60,1,0,0,0,108.197,0.005,Attack
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,550,0,0,0,0,211.007,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,932,0,0,0,0,145.857,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,774,0,0,0,0,208.362,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51991,80,60,1,0,0,0,18.212,0.003,Attack
TCP,TCP,192.168.1.3,13.70.73.107,49971,443,54,0,1,0,0,175.255,0.002,Normal
DATA,UDP,192.168.1.3,142.250.193.110,61888,443,71,0,0,0,0,151.033,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,884,0,0,0,0,199.0,0.002,Normal
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,657,0,0,0,0,209.105,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,963,0,0,0,0,169.876,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,419,0,0,0,0,177.973,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,703,0,0,0,0,194.648,0.002,Normal
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,210.961,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,727,0,0,0,0,168.66,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52127,80,60,1,0,0,0,22.6,0.004,Attack
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,90,0,0,0,0,202.307,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55216,80,60,1,0,0,0,97.031,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53167,80,60,1,0,0,0,52.692,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1024,0,0,0,0,209.056,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,882,0,0,0,0,205.825,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55060,80,60,1,0,0,0,94.199,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54836,80,60,1,0,0,0,89.936,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52310,80,60,1,0,0,0,28.365,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,51568,80,60,1,0,0,0,3.545,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,912,0,0,0,0,192.539,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,367,0,0,0,0,194.856,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55493,80,60,1,0,0,0,101.858,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55248,80,60,1,0,0,0,97.588,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54975,80,60,1,0,0,0,92.552,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53128,80,60,1,0,0,0,51.623,0.003,Attack
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,90,0,0,0,0,211.909,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53058,80,60,1,0,0,0,49.796,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54651,80,60,1,0,0,0,86.294,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,51536,80,60,1,0,0,0,2.347,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54534,80,60,1,0,0,0,83.931,0.005,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1073,0,0,0,0,169.133,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,405,0,0,0,0,192.618,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55142,80,60,1,0,0,0,95.69,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52048,80,60,1,0,0,0,20.064,0.005,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,335,0,0,0,0,162.811,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1045,0,0,0,0,211.516,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,858,0,0,0,0,150.676,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,199.559,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55281,80,60,1,0,0,0,98.169,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,944,0,0,0,0,164.502,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,209.303,0.002,Normal
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,1094,0,0,0,0,201.09,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,328,0,0,0,0,158.175,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52838,80,60,1,0,0,0,43.899,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,817,0,0,0,0,140.614,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53036,80,60,1,0,0,0,49.22,0.004,Attack
DATA,UDP,192.168.1.3,142.250.193.110,61888,443,71,0,0,0,0,211.199,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55538,80,60,1,0,0,0,102.644,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55150,80,60,1,0,0,0,95.825,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,397,0,0,0,0,164.898,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,679,0,0,0,0,194.05,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53750,80,60,1,0,0,0,66.979,0.003,Attack
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,167.654,0.42,Normal
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,106,0,0,0,0,193.97,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,744,0,0,0,0,142.574,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51855,80,60,1,0,0,0,13.591,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52632,80,60,1,0,0,0,38.105,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54190,80,60,1,0,0,0,76.77,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,738,0,0,0,0,170.375,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56277,80,60,1,0,0,0,114.587,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55671,80,60,1,0,0,0,104.936,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56315,80,60,1,0,0,0,115.164,0.005,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52933,80,60,1,0,0,0,46.494,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56044,80,60,1,0,0,0,110.968,0.002,Attack
DATA,UDP,192.168.1.3,142.250.205.234,65179,443,71,0,0,0,0,205.622,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55793,80,60,1,0,0,0,106.95,0.002,Attack
TCP,TCP,192.168.1.3,192.168.1.9,47622,8009,54,0,1,0,0,210.776,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,400,0,0,0,0,192.105,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51887,80,60,1,0,0,0,14.686,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,939,0,0,0,0,169.961,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,883,0,0,0,0,162.208,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55597,80,60,1,0,0,0,103.658,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56178,80,60,1,0,0,0,113.096,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52882,80,60,1,0,0,0,45.117,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52199,80,60,1,0,0,0,24.902,0.002,Attack
DTLS,UDP,192.168.1.3,142.250.82.4,49784,3478,239,0,0,0,0,190.966,0.409,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,210.802,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56344,80,60,1,0,0,0,115.577,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,793,0,0,0,0,201.426,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55960,80,60,1,0,0,0,109.631,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,336,0,0,0,0,169.539,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52192,80,60,1,0,0,0,24.694,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,386,0,0,0,0,192.7,0.002,Normal
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,133.074,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55919,80,60,1,0,0,0,109.002,0.004,Attack
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,169.96,0.001,Normal
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,212.819,0.203,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56216,80,60,1,0,0,0,113.688,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53206,80,60,1,0,0,0,53.701,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55711,80,60,1,0,0,0,105.62,0.002,Attack
_WS.MALFORMED,UDP,192.168.1.3,142.250.82.4,49784,3478,90,0,0,0,0,208.902,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52160,80,60,1,0,0,0,23.661,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,394,0,0,0,0,205.277,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55858,80,60,1,0,0,0,108.035,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1166,0,0,0,0,190.537,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55433,80,60,1,0,0,0,100.744,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52400,80,60,1,0,0,0,31.073,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55965,80,60,1,0,0,0,109.705,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,392,0,0,0,0,208.842,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51501,80,60,1,0,0,0,1.067,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52156,80,60,1,0,0,0,23.534,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56188,80,60,1,0,0,0,113.259,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52272,80,60,1,0,0,0,27.2,0.003,Attack
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,539,0,0,0,0,193.749,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1146,0,0,0,0,194.416,0.002,Normal
DATA,UDP,192.168.1.3,142.250.193.110,61888,443,71,0,0,0,0,180.068,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,884,0,0,0,0,211.413,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1056,0,0,0,0,199.315,0.002,Normal
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,106,0,0,0,0,89.622,0.001,Normal
TCP,TCP,192.168.1.3,13.70.73.107,49971,443,571,0,1,0,0,173.702,0.003,Normal
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,543,0,0,0,0,203.903,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53090,80,60,1,0,0,0,50.617,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,783,0,0,0,0,180.623,0.002,Normal
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,82.746,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,199.18,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,684,0,0,0,0,162.861,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53881,80,60,1,0,0,0,69.955,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54576,80,60,1,0,0,0,84.76,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56345,80,60,1,0,0,0,115.585,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56097,80,60,1,0,0,0,111.79,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,521,0,0,0,0,200.315,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55590,80,60,1,0,0,0,103.55,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,56120,80,60,1,0,0,0,112.156,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52977,80,60,1,0,0,0,47.653,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,241,0,0,0,0,200.129,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,400,0,0,0,0,193.652,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56358,80,60,1,0,0,0,115.754,0.003,Attack
DATA,UDP,142.250.205.234,192.168.1.3,443,65179,120,0,0,0,0,178.952,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55767,80,60,1,0,0,0,106.514,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,397,0,0,0,0,212.074,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56096,80,60,1,0,0,0,111.782,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,934,0,0,0,0,192.007,0.003,Normal
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,605,0,0,0,0,208.87,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1149,0,0,0,0,209.092,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56009,80,60,1,0,0,0,110.424,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55735,80,60,1,0,0,0,106.021,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,897,0,0,0,0,179.498,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,271,0,0,0,0,201.122,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55231,80,60,1,0,0,0,97.271,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54761,80,60,1,0,0,0,88.48,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54011,80,60,1,0,0,0,72.844,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54363,80,60,1,0,0,0,80.412,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52357,80,60,1,0,0,0,29.792,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53618,80,60,1,0,0,0,63.856,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,879,0,0,0,0,193.759,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,828,0,0,0,0,193.486,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,54699,80,60,1,0,0,0,87.25,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1155,0,0,0,0,193.672,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52724,80,60,1,0,0,0,40.718,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,814,0,0,0,0,203.616,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,54447,80,60,1,0,0,0,82.192,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,968,0,0,0,0,37.54,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1123,0,0,0,0,152.576,0.003,Normal
DATA,UDP,142.250.82.4,192.168.1.3,3478,49784,861,0,0,0,0,201.293,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52465,80,60,1,0,0,0,33.135,0.003,Attack
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,90,0,0,0,0,194.155,0.002,Normal
STUN,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,172.033,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53230,80,60,1,0,0,0,54.3,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53388,80,60,1,0,0,0,58.315,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53466,80,60,1,0,0,0,60.228,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,52837,80,60,1,0,0,0,43.872,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54288,80,60,1,0,0,0,78.843,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55736,80,60,1,0,0,0,106.038,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53678,80,60,1,0,0,0,65.291,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,894,0,0,0,0,198.012,0.002,Normal
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,188.648,0.001,Normal
DATA,UDP,192.168.1.3,142.250.193.110,61888,443,75,0,0,0,0,210.669,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53797,80,60,1,0,0,0,68.063,0.002,Attack
